,Capacity,Latitude,LoadEntering,Longitude,Member State,NRemoval,PRemoval
0,8000.0,47.77919,6346.0,17.05039,AT,True,True
1,65000.0,47.59491,10032.0,16.64161,AT,True,True
2,42000.0,47.83195,38697.0,16.54416,AT,True,True
3,7250.0,47.82736,3422.0,16.92429,AT,True,True
4,5000.0,48.01208,1351.0,16.99434,AT,True,True
5,40000.0,47.88675,12832.0,16.92108,AT,True,True
6,2500.0,47.51051,781.0,16.56841,AT,True,True
7,2500.0,47.0126,1560.0,16.45283,AT,True,True
8,8400.0,47.95338,979.0,16.7936,AT,True,True
9,15200.0,47.42426,13002.0,16.58143,AT,True,True
10,2500.0,47.1951,1558.0,16.32592,AT,True,True
11,28700.0,47.88178,12846.0,16.38543,AT,True,True
12,2800.0,47.53173,618.0,16.67048,AT,False,False
13,25000.0,47.48761,17029.0,16.53036,AT,False,True
14,17000.0,47.32953,13080.0,16.14938,AT,True,True
15,20000.0,47.86418,4810.0,16.84087,AT,True,True
16,5000.0,47.3019,3468.0,16.45532,AT,True,True
17,45000.0,47.25379,44158.0,16.27884,AT,True,True
18,2000.0,47.23848,891.0,16.42122,AT,True,True
19,7400.0,47.71449,2493.0,16.52114,AT,True,True
20,12500.0,47.13905,7578.0,16.18371,AT,True,True
21,5132.0,47.7855,1122.0,16.92122,AT,True,True
22,100000.0,47.80035,73597.0,16.51832,AT,True,True
23,26300.0,47.71448,10962.0,16.8848,AT,True,True
24,12500.0,47.94444,4430.0,17.09043,AT,True,True
25,14000.0,47.0478,19198.0,16.36586,AT,True,True
26,25000.0,47.25413,5299.0,16.093,AT,True,True
27,9000.0,47.45799,2614.0,16.66132,AT,True,True
28,10000.0,47.29454,5581.0,16.2962,AT,True,True
29,7000.0,47.2039,2887.0,16.41607,AT,True,True
30,3000.0,47.78177,1842.0,16.98611,AT,True,True
31,4000.0,47.20752,1829.0,16.32334,AT,True,True
32,7000.0,47.87811,3099.0,16.98684,AT,True,True
33,66500.0,47.85884,46133.0,16.65007,AT,True,True
34,5000.0,47.92654,2448.0,16.43839,AT,True,True
35,4100.0,47.13748,1487.0,16.44768,AT,True,True
36,130000.0,46.96688,83200.0,16.2568,AT,True,True
37,2400.0,47.42217,958.0,16.20814,AT,True,True
38,2000.0,46.8937,0.0,14.34191,AT,False,False
39,46000.0,46.64001,30350.0,14.65459,AT,True,True
40,7000.0,46.67036,3847.0,13.01564,AT,True,True
41,1800.0,46.87682,1000.0,14.50377,AT,False,False
42,3500.0,46.92855,1177.0,14.54901,AT,True,True
43,32000.0,46.86127,27777.0,14.45688,AT,True,True
44,65000.0,46.73991,44500.0,14.38583,AT,True,True
45,15000.0,46.91969,7090.0,13.21758,AT,True,True
46,8400.0,47.01572,2900.0,12.8673,AT,True,True
47,7000.0,46.72401,3465.0,13.63886,AT,True,True
48,4000.0,46.51131,2066.0,14.5798,AT,True,True
49,4950.0,46.6993,4890.0,14.74428,AT,True,True
50,120000.0,46.7365,90000.0,14.84786,AT,True,True
51,10000.0,46.93313,5990.0,14.83025,AT,False,True
52,25000.0,46.62137,12450.0,14.58715,AT,True,True
53,4000.0,46.97704,723.0,13.70965,AT,True,True
54,2400.0,46.861,776.0,12.89428,AT,True,True
55,23000.0,46.67175,13403.0,13.72959,AT,True,True
56,2000.0,46.62309,1859.0,14.55307,AT,True,True
57,4000.0,46.61759,1563.0,14.97601,AT,True,True
58,7835.0,46.58113,5510.0,13.61924,AT,True,True
59,2550.0,46.56884,1608.0,14.50563,AT,True,True
60,2000.0,46.6651,753.0,14.8396,AT,True,True
61,300000.0,46.6068,175348.0,14.33381,AT,True,True
62,3100.0,46.73986,1600.0,13.02477,AT,True,True
63,2250.0,46.95014,1261.0,12.8997,AT,True,True
64,6500.0,46.64239,4300.0,14.42698,AT,True,True
65,50000.0,46.71233,31120.0,14.08227,AT,True,True
66,200000.0,46.61229,128000.0,13.87811,AT,True,True
67,3750.0,46.98956,1900.0,13.62289,AT,True,True
68,44000.0,46.5748,27926.0,14.02406,AT,True,True
69,110000.0,46.78017,97392.0,13.5193,AT,False,True
70,22000.0,46.6107,15835.0,13.49164,AT,True,True
71,3750.0,46.53436,2450.0,14.20432,AT,True,True
72,10000.0,46.54273,5900.0,14.30594,AT,True,True
73,2750.0,46.60546,1870.0,14.48754,AT,True,True
74,3000.0,46.53886,1015.0,14.19042,AT,True,True
75,7500.0,46.7388,7705.0,14.53441,AT,True,True
76,7800.0,46.73854,2018.0,13.09934,AT,True,True
77,13300.0,46.7546,657.0,13.26097,AT,True,True
78,7200.0,48.20863,0.0,16.19541,AT,False,True
79,4500.0,48.18723,1800.0,14.83306,AT,True,True
80,3700.0,48.14486,2891.0,14.47581,AT,True,True
81,2000.0,48.09996,842.0,15.00129,AT,True,True
82,150000.0,48.10976,126264.0,14.89574,AT,True,True
83,8000.0,48.23099,6403.0,14.53676,AT,True,True
84,16000.0,48.05861,12923.0,14.70647,AT,False,True
85,8000.0,48.11508,3952.0,14.54662,AT,True,True
86,4700.0,48.10262,2425.0,14.47728,AT,True,True
87,3000.0,47.81008,1807.0,14.76744,AT,True,True
88,15000.0,48.18113,14212.0,14.53797,AT,True,True
89,2700.0,48.16804,1541.0,14.724,AT,True,True
90,5000.0,47.9411,3031.0,14.85141,AT,True,True
91,2750.0,47.93347,641.0,16.55477,AT,False,True
92,135000.0,48.03159,74211.0,16.82696,AT,True,True
93,15000.0,48.14517,11205.0,16.92879,AT,True,True
94,3000.0,48.11744,1842.0,16.86653,AT,False,True
95,2000.0,48.06493,0.0,16.96579,AT,False,False
96,5000.0,48.042,5842.0,16.10211,AT,True,True
97,45000.0,47.99522,45689.0,16.2664,AT,True,True
98,13720.0,47.97287,13136.0,16.41516,AT,True,True
99,8500.0,47.91153,8106.0,16.40181,AT,True,True
100,40000.0,48.00504,35244.0,16.35443,AT,True,True
101,105000.0,47.96934,65083.0,16.24464,AT,True,True
102,5000.0,48.01144,5447.0,16.00973,AT,True,True
103,4500.0,48.02005,3765.0,16.18418,AT,True,True
104,10000.0,47.94362,6271.0,16.49582,AT,True,True
105,6000.0,47.9845,2350.0,16.22658,AT,False,True
106,33000.0,48.03136,21360.0,16.3108,AT,True,True
107,50000.0,48.79622,33447.0,14.95844,AT,True,True
108,2650.0,48.77569,3439.0,15.0159,AT,False,True
109,2250.0,48.7408,748.0,15.0837,AT,False,True
110,6750.0,48.94561,1531.0,15.04455,AT,False,True
111,4185.0,48.70672,1698.0,14.89303,AT,False,True
112,8500.0,48.3635,4325.0,16.83245,AT,True,True
113,4000.0,48.46586,2563.0,16.80952,AT,False,True
114,12000.0,48.29376,12577.0,16.55856,AT,True,True
115,3700.0,48.46715,1602.0,16.86352,AT,False,True
116,2200.0,48.14098,1083.0,16.78863,AT,False,True
117,2700.0,48.18766,2350.0,16.89459,AT,True,True
118,2000.0,48.22025,344.0,16.86538,AT,True,True
119,10000.0,48.34733,10680.0,16.73636,AT,True,True
120,6000.0,48.45971,1495.0,16.62392,AT,False,False
121,30000.0,48.25935,16536.0,16.65381,AT,True,True
122,14000.0,48.36472,9875.0,16.71345,AT,True,True
123,13000.0,48.43827,6423.0,16.60799,AT,True,True
124,9000.0,48.59037,7277.0,16.83278,AT,True,True
125,144000.0,48.17908,145860.0,16.54924,AT,True,True
126,2000.0,48.20121,1031.0,16.77517,AT,True,True
127,5000.0,48.60649,3160.0,16.91513,AT,False,True
128,3000.0,48.49488,1110.0,16.88577,AT,True,True
129,3700.0,48.21376,3311.0,16.83019,AT,False,True
