,Latitude,Longitude,temperature
1,47.77919,17.05039,2.21
2,47.59491,16.64161,2.88
3,47.83195,16.54416,3.96
4,47.82736,16.92429,2.93
5,48.01208,16.99434,4.06
6,47.88675,16.92108,4.04
7,47.51051,16.56841,5
8,47.0126,16.45283,0.55
9,47.95338,16.7936,4
10,47.42426,16.58143,1
11,47.1951,16.32592,1.22
12,47.88178,16.38543,3.93
13,47.53173,16.67048,2.95
14,47.48761,16.53036,5
15,47.32953,16.14938,5
16,47.86418,16.84087,4.02
17,47.3019,16.45532,1.22
18,47.25379,16.27884,1.22
19,47.23848,16.42122,1.22
20,47.71449,16.52114,5
21,47.13905,16.18371,5
22,47.7855,16.92122,2.19
23,47.80035,16.51832,3.96
24,47.71448,16.8848,2.96
25,47.94444,17.09043,2.59
26,47.0478,16.36586,0.55
27,47.25413,16.093,5
28,47.45799,16.66132,1
29,47.29454,16.2962,1.22
30,47.2039,16.41607,1.22
31,47.78177,16.98611,2.2
32,47.20752,16.32334,1.22
33,47.87811,16.98684,2.57
34,47.85884,16.65007,3.98
35,47.92654,16.43839,3.93
36,47.13748,16.44768,1.22
37,46.96688,16.2568,5
38,47.42217,16.20814,1.22
39,46.8937,14.34191,1.4
40,46.64001,14.65459,1.3
41,46.67036,13.01564,-2
42,46.87682,14.50377,1.41
43,46.92855,14.54901,2.66
44,46.86127,14.45688,1.4
45,46.73991,14.38583,1.29
46,46.91969,13.21758,-2
47,47.01572,12.8673,-4.78
48,46.72401,13.63886,2
49,46.51131,14.5798,1.51
50,46.6993,14.74428,2.24
51,46.7365,14.84786,2.38
52,46.93313,14.83025,2.61
53,46.62137,14.58715,1.3
54,46.97704,13.70965,2
55,46.861,12.89428,-4.78
56,46.67175,13.72959,2
57,46.62309,14.55307,1.3
58,46.61759,14.97601,2.38
59,46.58113,13.61924,2
60,46.56884,14.50563,1.49
61,46.6651,14.8396,2.39
62,46.6068,14.33381,1.47
63,46.73986,13.02477,-2
64,46.95014,12.8997,-2
65,46.64239,14.42698,1.29
66,46.71233,14.08227,1.46
67,46.61229,13.87811,1.48
68,46.98956,13.62289,2
69,46.5748,14.02406,1.48
70,46.78017,13.5193,2
71,46.6107,13.49164,2
72,46.53436,14.20432,1.49
73,46.54273,14.30594,1.49
74,46.60546,14.48754,1.29
75,46.53886,14.19042,1.49
76,46.7388,14.53441,1.3
77,46.73854,13.09934,-2
78,46.7546,13.26097,-2
79,48.20863,16.19541,5
80,48.18723,14.83306,4
81,48.14486,14.47581,4
82,48.09996,15.00129,4
83,48.10976,14.89574,4
84,48.23099,14.53676,4
85,48.05861,14.70647,4
86,48.11508,14.54662,4
87,48.10262,14.47728,4
88,47.81008,14.76744,2.2
89,48.18113,14.53797,4
90,48.16804,14.724,4
91,47.9411,14.85141,4
92,47.93347,16.55477,3.95
93,48.03159,16.82696,4.01
94,48.14517,16.92879,4.05
95,48.11744,16.86653,4.03
96,48.06493,16.96579,4.06
97,48.042,16.10211,5
98,47.99522,16.2664,5
99,47.97287,16.41516,3.93
100,47.91153,16.40181,3.93
101,48.00504,16.35443,3.92
102,47.96934,16.24464,5
103,48.01144,16.00973,5
104,48.02005,16.18418,5
105,47.94362,16.49582,3.94
106,47.9845,16.22658,5
107,48.03136,16.3108,3.91
108,48.79622,14.95844,1.2
109,48.77569,15.0159,1.2
110,48.7408,15.0837,1.2
111,48.94561,15.04455,0.5
112,48.70672,14.89303,1.2
113,48.3635,16.83245,4.03
114,48.46586,16.80952,4.04
