,Capacity,Latitude,Load Entering,Longitude,Member State,NRemoval,PRemoval,Temperature
0,8000,47.77919,6346,17.05039,AT,TRUE,TRUE,1.96
1,65000,47.59491,10032,16.64161,AT,TRUE,TRUE,1.81
2,42000,47.83195,38697,16.54416,AT,TRUE,TRUE,0
3,7250,47.82736,3422,16.92429,AT,TRUE,TRUE,1.32
4,5000,48.01208,1351,16.99434,AT,TRUE,TRUE,0
5,40000,47.88675,12832,16.92108,AT,TRUE,TRUE,0
6,2500,47.51051,781,16.56841,AT,TRUE,TRUE,0
7,2500,47.0126,1560,16.45283,AT,TRUE,TRUE,2.15
8,8400,47.95338,979,16.7936,AT,TRUE,TRUE,0
9,15200,47.42426,13002,16.58143,AT,TRUE,TRUE,4
10,2500,47.1951,1558,16.32592,AT,TRUE,TRUE,-2.82
11,28700,47.88178,12846,16.38543,AT,TRUE,TRUE,0
12,2800,47.53173,618,16.67048,AT,FALSE,FALSE,1.74
13,25000,47.48761,17029,16.53036,AT,FALSE,TRUE,0
14,17000,47.32953,13080,16.14938,AT,TRUE,TRUE,-3
15,20000,47.86418,4810,16.84087,AT,TRUE,TRUE,0
16,5000,47.3019,3468,16.45532,AT,TRUE,TRUE,-2.82
17,45000,47.25379,44158,16.27884,AT,TRUE,TRUE,-2.82
18,2000,47.23848,891,16.42122,AT,TRUE,TRUE,-2.82
19,7400,47.71449,2493,16.52114,AT,TRUE,TRUE,0
20,12500,47.13905,7578,16.18371,AT,TRUE,TRUE,-3
21,5132,47.7855,1122,16.92122,AT,TRUE,TRUE,1.98
22,100000,47.80035,73597,16.51832,AT,TRUE,TRUE,0
23,26300,47.71448,10962,16.8848,AT,TRUE,TRUE,1.27
24,12500,47.94444,4430,17.09043,AT,TRUE,TRUE,1.33
25,14000,47.0478,19198,16.36586,AT,TRUE,TRUE,2.15
26,25000,47.25413,5299,16.093,AT,TRUE,TRUE,-3
27,9000,47.45799,2614,16.66132,AT,TRUE,TRUE,4
28,10000,47.29454,5581,16.2962,AT,TRUE,TRUE,-2.82
29,7000,47.2039,2887,16.41607,AT,TRUE,TRUE,-2.82
30,3000,47.78177,1842,16.98611,AT,TRUE,TRUE,1.97
31,4000,47.20752,1829,16.32334,AT,TRUE,TRUE,-2.82
32,7000,47.87811,3099,16.98684,AT,TRUE,TRUE,1.33
33,66500,47.85884,46133,16.65007,AT,TRUE,TRUE,0
34,5000,47.92654,2448,16.43839,AT,TRUE,TRUE,0
35,4100,47.13748,1487,16.44768,AT,TRUE,TRUE,-2.82
36,130000,46.96688,83200,16.2568,AT,TRUE,TRUE,-3
37,2400,47.42217,958,16.20814,AT,TRUE,TRUE,-2.82
38,2000,46.8937,0,14.34191,AT,FALSE,FALSE,-1
39,46000,46.64001,30350,14.65459,AT,TRUE,TRUE,-2.02
40,7000,46.67036,3847,13.01564,AT,TRUE,TRUE,-6.95
41,1800,46.87682,1000,14.50377,AT,FALSE,FALSE,-1
42,3500,46.92855,1177,14.54901,AT,TRUE,TRUE,-2.1
43,32000,46.86127,27777,14.45688,AT,TRUE,TRUE,-1
44,65000,46.73991,44500,14.38583,AT,TRUE,TRUE,-2.09
45,15000,46.91969,7090,13.21758,AT,TRUE,TRUE,-6.95
46,8400,47.01572,2900,12.8673,AT,TRUE,TRUE,-10.57
47,7000,46.72401,3465,13.63886,AT,TRUE,TRUE,-1
48,4000,46.51131,2066,14.5798,AT,TRUE,TRUE,-1.98
49,4950,46.6993,4890,14.74428,AT,TRUE,TRUE,-2.36
50,120000,46.7365,90000,14.84786,AT,TRUE,TRUE,-1.25
51,10000,46.93313,5990,14.83025,AT,FALSE,TRUE,-1.98
52,25000,46.62137,12450,14.58715,AT,TRUE,TRUE,-2.03
53,4000,46.97704,723,13.70965,AT,TRUE,TRUE,-1
54,2400,46.861,776,12.89428,AT,TRUE,TRUE,-10.57
55,23000,46.67175,13403,13.72959,AT,TRUE,TRUE,-1
56,2000,46.62309,1859,14.55307,AT,TRUE,TRUE,-2.03
57,4000,46.61759,1563,14.97601,AT,TRUE,TRUE,-1.27
58,7835,46.58113,5510,13.61924,AT,TRUE,TRUE,-1
59,2550,46.56884,1608,14.50563,AT,TRUE,TRUE,-2.02
60,2000,46.6651,753,14.8396,AT,TRUE,TRUE,-1.25
61,300000,46.6068,175348,14.33381,AT,TRUE,TRUE,-2.07
62,3100,46.73986,1600,13.02477,AT,TRUE,TRUE,-6.95
63,2250,46.95014,1261,12.8997,AT,TRUE,TRUE,-6.95
64,6500,46.64239,4300,14.42698,AT,TRUE,TRUE,-2.06
65,50000,46.71233,31120,14.08227,AT,TRUE,TRUE,-2.08
66,200000,46.61229,128000,13.87811,AT,TRUE,TRUE,-2.04
67,3750,46.98956,1900,13.62289,AT,TRUE,TRUE,-1
68,44000,46.5748,27926,14.02406,AT,TRUE,TRUE,-2.03
69,110000,46.78017,97392,13.5193,AT,FALSE,TRUE,-1
70,22000,46.6107,15835,13.49164,AT,TRUE,TRUE,-1
71,3750,46.53436,2450,14.20432,AT,TRUE,TRUE,-2.02
72,10000,46.54273,5900,14.30594,AT,TRUE,TRUE,-2.03
73,2750,46.60546,1870,14.48754,AT,TRUE,TRUE,-2.04
74,3000,46.53886,1015,14.19042,AT,TRUE,TRUE,-2.03
75,7500,46.7388,7705,14.53441,AT,TRUE,TRUE,-2.07
76,7800,46.73854,2018,13.09934,AT,TRUE,TRUE,-6.95
77,13300,46.7546,657,13.26097,AT,TRUE,TRUE,-6.95
78,7200,48.20863,0,16.19541,AT,FALSE,TRUE,0
79,4500,48.18723,1800,14.83306,AT,TRUE,TRUE,-1
80,3700,48.14486,2891,14.47581,AT,TRUE,TRUE,-1
81,2000,48.09996,842,15.00129,AT,TRUE,TRUE,-1
